Subgroup,Linköping,Skäggetorp-Tornby
Nr of responses:,3897,159
Problemindex,1.513513514,2.189189189
Littering,29 (1),38 (2)
Damage,27 (2),37 (3)
"Drunk people, outdoors",12 (2),33 (6)
"Drug-intoxicated people, outdoors",9 (1),19 (3)
"Housing, shelters for alcohol abusers",4 (1),4 (1)
"Housing, shelters for drug abusers",5 (1),4 (1)
Observed drug dealing in the area,7 (),17 ()
People fighting and arguing outside,7 (1),15 (3)
Women being harassed,7 (2),14 (3)
Youth gangs fighting and disturbing the peace,19 (2),22 (2)
Cars speeding,37 (1),39 (1)
Reckless driving with mopeds and motorcycles,14 (1),16 (1)
Traffic rules are not being respected,19 (1),27 (2)
Proportion who perceived at least one problem,64 (1),78 (3)
Exposed to physical violence in the past 12 months,1 (2),1 (1)
Victim of theft,8 (2),12 (2)
Victim of vandalism,5 (2),5 (2)
Proportion exposed to at least one volume crime,12 (2),15 (2)
Victim of fraud,5 (),8 ()
Victim of threats,3 (2),4 (2)
Proportion not exposed to any type of crime,81 (1),79 (2)
Reporting rate,37 (),36 ()
Worried about a burglary in your home,34 (0),30 (0)
Worried about a burglary in your storage unit,43 (1),50 (2)
"Worry that your car, motorcycle, moped, or bicycle will be stolen or damaged",49 (2),57 (2)
Worry about being assaulted in the area,25 (2),40 (4)
Proportion who have been worried about some type of crime,65 (1),73 (2)
Feeling safe being outside alone late at night,63 (2),47 (4)
Feeling unsafe being outside alone late at night,25 (2),38 (4)
Afraid of specific individuals in your own residential area,7 (2),7 (1)
"Negative perception at restaurant, bar or nightclub",6 (2),9 (2)
Negative perception at sports events,3 (2),6 (2)
"Negative perception at association meetings, courses and similar activities",2 (2),4 (3)
Negative perception taking the bus or train,10 (2),11 (2)
Proportion who have refrained from any type of activity,12 (2),16 (2)
The police care about local problems,50 (1),55 (1)
The police do NOT care about local problems,7 (1),7 (1)
Ratio of perception (relation ratio),13 (0),13 (0)
Residents would NOT intervene if there is a fight,15 (2),21 (3)
Weak social cohesion in the residential area,14 (2),22 (4)
